RAJ2000,DEJ2000,redshift
118.630972,40.240387,0.091471
118.570393,40.124693,0.068774
119.269021,40.995155,0.074888
119.416082,40.946073,0.074156
119.498783,41.102286,0.041042
119.984925,41.527721,0.093629
120.384635,42.002323,0.031587
121.717786,43.323519,0.063588
122.718193,44.234484,0.056117
123.400334,44.899702,0.085009
123.960757,45.654079,0.043461
123.873455,45.634212,0.050532
124.092425,45.790998,0.049234
124.290595,45.813523,0.048716
124.695944,46.387378,0.040136
125.342417,46.743795,0.039727
125.281172,46.848834,0.039497
125.458472,47.016346,0.074759
126.840274,48.051609,0.098745
127.08155,48.127706,0.076686
126.964073,48.19834,0.077217
127.926486,48.983568,0.053823
128.026416,49.042026,0.091134
128.902086,49.595288,0.042384
129.47047,50.107979,0.119415
130.454866,50.786494,0.054393
130.876243,50.926341,0.113245
130.882034,50.979283,0.116112
130.959544,51.152995,0.097025
131.143789,51.111936,0.097881
131.107908,51.256636,0.080436
131.262548,51.182768,0.097953
131.27971,51.31617,0.080401
131.185461,51.383355,0.097263
131.363107,51.397917,0.115896
131.513626,51.534207,0.096139
131.604033,51.492372,0.095134
131.969989,51.710114,0.119968
131.962071,51.772018,0.115235
131.969862,51.86068,0.117943
131.826324,51.790474,0.119092
132.20484,51.801606,0.095487
132.246294,51.991527,0.118621
132.269733,51.997564,0.118804
132.664716,52.123988,0.08669
133.148403,52.366514,0.041358
133.026927,52.548359,0.06326
133.598441,52.668278,0.098735
134.479234,53.358946,0.095784
134.802385,53.424053,0.093886
134.847025,53.598712,0.083543
134.90704,53.563971,0.090973
135.09846,53.772093,0.094039
135.761,54.025816,0.084651
135.850772,53.983352,0.07994
135.796365,54.064433,0.083128
136.382384,54.347699,0.08195
136.662968,54.50074,0.088595
137.536105,54.892193,0.048479
137.440663,55.058925,0.106328
138.124239,55.265887,0.104728
139.139391,55.749479,0.048378
139.552445,55.854759,0.099487
139.842619,56.144949,0.099407
140.101396,56.234777,0.052874
140.849631,56.622598,0.106277
141.062236,56.593132,0.106436
141.123719,56.671244,0.114684
141.423658,56.763436,0.091219
142.144336,57.243031,0.100162
143.104354,57.482982,0.029376
143.044755,57.51592,0.101713
143.270141,57.564853,0.081787
143.489287,57.657671,0.085172
144.178943,57.943353,0.104975
144.835594,58.191147,0.072417
146.618555,58.874741,0.114333
147.554588,59.252247,0.11102
148.966533,59.723355,0.11479
149.228101,59.673005,0.114753
149.745024,59.925108,0.089071
149.896759,59.942826,0.089152
116.233754,38.060514,0.115355
116.680312,38.65393,0.11805
117.174468,39.061612,0.08536
117.464697,39.527899,0.096274
117.421078,39.600571,0.097753
117.525681,39.605858,0.096352
117.549987,39.60478,0.09726
117.84592,39.908852,0.095989
